a,b,c,d,e,f,g,h,i,j,k,l,m,Time
-36.0,-32.0,1148.0,84.0,-507.0,-333.0,0.0,6.7633125000000005,0.0,0.0,10199.0,2532.0,1425127537.723732,0.0
-32.0,-24.0,1148.0,66.0,-488.0,-317.0,0.0,4.9433125,3.5870625,0.36312499999999837,10202.0,2532.0,1425127537.951442,0.22771000862121582
-44.0,32.0,1164.0,66.0,-474.0,-325.0,0.0,6.2383125,0.8133124999999994,2.9881249999999984,10196.0,2533.0,1425127538.179972,0.4562399387359619
-32.0,-24.0,1160.0,58.0,-472.0,-318.0,0.0,0.0,-2.179187500000001,5.569374999999999,10197.0,2533.0,1425127538.407496,0.6837639808654785
-24.0,-24.0,1144.0,48.0,-483.0,-303.0,0.0,0.0,-1.4354375000000008,7.555624999999999,10196.0,2533.0,1425127538.635084,0.9113519191741943
-12.0,-8.0,1116.0,46.0,-497.0,-321.0,0.0,0.0,-0.9804375000000007,6.295624999999999,10195.0,2534.0,1425127538.862575,1.138843059539795
-4.0,-24.0,1168.0,24.0,-471.0,-306.0,0.0,7.8133125,-2.144187500000001,5.613125,10193.0,2534.0,1425127539.09036,1.3666279315948486
-12.0,-8.0,1188.0,9.0,-451.0,-311.0,0.0,4.5670625000000005,0.0,15.465625,10191.0,2534.0,1425127539.318026,1.5942940711975098
-8.0,-16.0,1140.0,-4.0,-451.0,-305.0,0.0,0.0,0.0,18.729375,10194.0,2534.0,1425127539.550661,1.8269290924072266
-16.0,-4.0,1180.0,-13.0,-461.0,-279.0,0.0,0.0,0.0,10.653125,10191.0,2534.0,1425127539.777717,2.053985118865967
-4.0,-44.0,1176.0,-22.0,-477.0,-259.0,0.0,0.0,0.0,6.138124999999999,10195.0,2534.0,1425127540.004669,2.2809369564056396
0.0,-60.0,1144.0,-26.0,-481.0,-243.0,0.0,0.0,0.0,18.851875,10193.0,2534.0,1425127540.231821,2.508089065551758
8.0,-64.0,1152.0,-41.0,-466.0,-245.0,0.0,13.7108125,0.0,-5.403125000000001,10195.0,2534.0,1425127540.459501,2.735769033432007
-16.0,-24.0,1156.0,-45.0,-466.0,-267.0,0.0,16.3533125,1.3383124999999998,-6.943125000000002,10195.0,2534.0,1425127540.687272,2.9635400772094727
-12.0,52.0,1164.0,-50.0,-475.0,-274.0,0.0,0.0,1.6270624999999992,-11.606875000000002,10195.0,2535.0,1425127540.915258,3.191525936126709
-16.0,4.0,1120.0,-46.0,-474.0,-258.0,0.0,-4.6116875,2.9658124999999993,-4.318125000000001,10194.0,2534.0,1425127541.1429,3.419167995452881
-40.0,-24.0,1168.0,-40.0,-473.0,-225.0,0.0,-7.6829375,1.1020624999999997,-5.184375000000001,10197.0,2534.0,1425127541.370555,3.646822929382324
