Accel_X,Accel_Y,Accel_Z,Mag_X,Mag_Y,Mag_Z,Mag_o,Gyro_X,Gyro_Y,Gyro_Z,Pressure,Temp,Timestamp,Time,v_X,v_Y,v_Z,X,Y,Z
0.07840000000000001,-0.23520000000000002,11.368,44.0,-478.0,15.0,0.0,0.0,0.0,0.0,10303.0,2085.0,1425156798.209829,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.47040000000000004,-0.23520000000000002,11.0936,27.0,-448.0,43.0,0.0,3.689875,0.0,1.7412500000000002,10304.0,2086.0,1425156798.43878,0.22895097732543945,0.017949756622314454,-0.05384926986694336,2.602714710235596,0.0,0.0,0.0
0.15680000000000002,-0.8232,11.603200000000001,21.0,-453.0,29.0,0.0,3.401125,0.0,3.5700000000000003,10302.0,2086.0,1425156798.666452,0.456622838973999,0.12504660034179688,-0.10739769172668458,5.128415274620057,0.004086654506340892,-0.012259963519022678,0.5925649034194294
-0.15680000000000002,-0.039200000000000006,11.603200000000001,34.0,-448.0,28.0,0.0,-4.176375,0.0,6.37,10304.0,2086.0,1425156798.893111,0.6832818984985352,0.16058674087524416,-0.29398342952728274,7.758385674095155,0.03242959933655311,-0.03660262332089906,1.7549666864160771
0.6272000000000001,0.31360000000000005,11.015200000000002,46.0,-451.0,32.0,0.0,-2.9601250000000006,0.0,10.167500000000002,10303.0,2087.0,1425156799.119848,0.9100189208984375,0.12503437576293946,-0.3028715208053589,10.389260692405703,0.06884055879951065,-0.10325955076682668,3.514079952790472
0.4312,-1.1760000000000002,11.5248,50.0,-455.0,41.0,0.0,-3.9838750000000007,0.0,14.175000000000002,10302.0,2087.0,1425156799.346497,1.1366679668426514,0.26718865737915043,-0.2317943799972534,12.885845263290408,0.09717948077641121,-0.17190509200103438,5.868795976789947
0.35280000000000006,-0.9016000000000001,11.681600000000001,58.0,-458.0,47.0,0.0,1.2661250000000002,-0.5634999999999994,17.7275,10302.0,2087.0,1425156799.573068,1.36323881149292,0.36488600559234624,-0.49824169330596924,15.497028933715823,0.15771664055977652,-0.2244229404621974,8.788352822126317
0.07840000000000001,-0.6664000000000001,11.4464,80.0,-459.0,53.0,0.0,3.304875,-0.49349999999999916,20.76375,10304.0,2087.0,1425156799.801074,1.5912449359893799,0.44532656631469736,-0.7038120151519776,18.16050527763367,0.24091288457788101,-0.3380250980154452,12.321770330512368
-0.07840000000000001,-0.4312,11.9168,104.0,-457.0,39.0,0.0,1.021125,0.8452500000000001,23.2575,10304.0,2087.0,1425156800.027929,1.8180999755859375,0.4631120014190675,-0.8549882135391236,20.757178802871707,0.34193746041260076,-0.4976884005812801,16.441572474363447
-0.31360000000000005,-0.15680000000000002,11.368,122.0,-471.0,44.0,0.0,-6.932625000000001,0.5827500000000008,25.12125,10301.0,2087.0,1425156800.254817,2.044987916946411,0.4453239868164064,-0.9528222938537598,23.460957022476197,0.4470119890339017,-0.6916749162386409,21.15112604139827
0.7448,-0.5096,11.368,135.0,-469.0,51.0,0.0,-4.412625,0.9677500000000006,27.51,10302.0,2087.0,1425156800.48178,2.2719509601593018,0.3741483764648439,-0.9884100990295411,26.041072897720337,0.5480840762974505,-0.9079303636927774,26.475896243906305
-0.23520000000000002,-0.35280000000000006,11.368,155.0,-471.0,47.0,0.0,1.6861250000000003,0.0,29.111250000000002,10301.0,2087.0,1425156800.708309,2.4984798431396484,0.5428670885086061,-1.1038492177963257,28.61625323944092,0.6328394900869418,-1.1318337993524332,32.374951399036675
0.7056000000000001,-0.392,11.564000000000002,193.0,-462.0,36.0,0.0,4.319875000000001,0.0,29.898750000000003,10303.0,2087.0,1425156800.935032,2.725202798843384,0.48954184932708755,-1.1838370765686035,31.193639799880984,0.7559199209478943,-1.3821017566624725,38.862912914649314
-0.23520000000000002,-0.039200000000000006,11.328800000000001,217.0,-462.0,30.0,0.0,1.5548750000000002,0.5740000000000007,30.51125,10304.0,2087.0,1425156801.161868,2.9520390033721924,0.6495974752426149,-1.2727568687438964,33.816773669052125,0.8669657360072647,-1.650638865891775,45.9387597722931
-0.23520000000000002,-0.5096,12.152000000000001,224.0,-472.0,36.0,0.0,-5.943875000000001,1.1515000000000004,30.94875,10303.0,2087.0,1425156801.388657,3.178828001022339,0.5962567029953004,-1.2816469974517821,36.3860208656311,1.0142872962936031,-1.9392861204065424,53.6080319764593
0.6664000000000001,-0.9800000000000001,10.976,250.0,-483.0,11.0,0.0,-3.4676250000000004,1.0377500000000008,31.937500000000004,10303.0,2087.0,1425156801.615347,3.405517816543579,0.5429392583847047,-1.397168127441406,39.14075550384521,1.1494526182989107,-2.2298224418222383,61.85637233404121
0.039200000000000006,-0.4312,11.2504,283.0,-454.0,-1.0,0.0,2.106125,0.0,32.57625000000001,10302.0,2087.0,1425156801.844475,3.634645938873291,0.6956302391052247,-1.6217136873245237,41.65566577453613,1.2738552711116844,-2.5499529514418073,70.8246201492036
0.039200000000000006,-0.35280000000000006,11.289600000000002,320.0,-511.0,-45.0,0.0,1.029875,0.0,29.802500000000002,10302.0,2087.0,1425156802.071232,3.861402988433838,0.7045191154479982,-1.7194913270950316,44.20677328491211,1.431594331716283,-2.9176879624114718,80.27033601771767
0.11760000000000001,-0.35280000000000006,11.289600000000002,339.0,-493.0,-40.0,0.0,-3.7738750000000008,1.2302500000000007,27.195,10301.0,2087.0,1425156802.298493,4.088663816452026,0.7134277399063111,-1.7996689472198486,46.772457128906254,1.5917039292476367,-3.3084609851771822,90.31680391845913
