Accel_X,Accel_Y,Accel_Z,Mag_X,Mag_Y,Mag_Z,Mag_o,Gyro_X,Gyro_Y,Gyro_Z,Pressure,Temp,Timestamp,Time,v_X,v_Y,v_Z,X,Y,Z
-0.392,0.23520000000000002,11.2504,29.0,-457.0,-63.0,0.0,0.0,0.0,0.0,10209.0,1987.0,1425149480.476375,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.5880000000000001,-0.47040000000000004,11.0936,10.0,-431.0,-43.0,0.0,1.2613125,1.4568749999999993,0.0,10210.0,1987.0,1425149480.70295,0.22657489776611328,-0.08881735992431641,0.053290415954589845,2.549058229827881,0.0,0.0,0.0
-0.5096,0.392,11.6424,16.0,-431.0,-45.0,0.0,1.1738125000000001,0.7218749999999989,0.3464999999999998,10206.0,1988.0,1425149480.930269,0.45389389991760254,-0.2224809331893921,-0.05364044265747071,5.070844312095643,-0.02018987363172528,0.012113924179035167,0.5794493732305155
-0.11760000000000001,-0.07840000000000001,11.328800000000001,18.0,-439.0,-47.0,0.0,-0.3224375,-0.49437500000000156,0.6264999999999996,10208.0,1988.0,1425149481.157798,0.6814229488372803,-0.3384297365188599,0.03555094451904296,7.719828511238099,-0.07081074876307003,-9.083472244965536e-05,1.7332137567813946
-0.23520000000000002,0.9016000000000001,11.5248,25.0,-434.0,-51.0,0.0,-0.6636875,0.0,-0.3010000000000004,10208.0,1989.0,1425149481.387922,0.9115469455718994,-0.3654923185348511,0.01750922317504882,10.326857245445252,-0.14869155234463416,0.008090290717963213,3.5097315478933706
-0.11760000000000001,0.392,11.211200000000002,13.0,-436.0,-48.0,0.0,-0.15618750000000003,0.0,-0.9835000000000005,10205.0,1988.0,1425149481.616395,1.1400198936462402,-0.41922915592193605,0.22350043315887452,12.959962277412416,-0.23219665985881763,0.012090674555258188,5.869139067103114
0.15680000000000002,0.23520000000000002,11.2504,14.0,-433.0,-56.0,0.0,0.24631250000000005,0.0,-0.8697500000000005,10207.0,1989.0,1425149481.844266,1.3678908348083496,-0.4460267786026001,0.31282584209442144,15.514668972969057,-0.32772680218134587,0.06301992860931004,8.822337868682515
-0.196,0.6664000000000001,11.564000000000002,11.0,-419.0,-45.0,0.0,0.4475625000000001,0.0,1.9827500000000002,10208.0,1989.0,1425149482.073543,1.59716796875,-0.4100761240005493,0.3667518239974976,18.0941284406662,-0.42999054364057704,0.1347437411076023,12.379496704858308
-0.039200000000000006,0.039200000000000006,11.172,24.0,-438.0,-50.0,0.0,0.7713125000000001,0.0,0.0,10206.0,1989.0,1425149482.301146,1.8247709274291992,-0.45468630390167236,0.518426435661316,20.72612905483246,-0.5233250827468002,0.2182175413504257,16.49777387267538
-0.5096,0.15680000000000002,11.368,18.0,-436.0,-48.0,0.0,-0.6461875,0.0,-0.5547500000000003,10207.0,1989.0,1425149482.528263,2.0518879890441895,-0.46358929271697996,0.5273294244766236,23.26348086719513,-0.6265921000455286,0.3359610300813566,21.205031402262005
-0.35280000000000006,0.4312,11.485600000000002,10.0,-433.0,-47.0,0.0,-0.5411875,0.0,-1.5697500000000004,10207.0,1989.0,1425149482.755744,2.2793688774108887,-0.5795135534286499,0.562998427772522,25.849483606147768,-0.7320498041900769,0.45591839602319917,26.497028696433265
-0.4312,0.47040000000000004,11.485600000000002,11.0,-427.0,-36.0,0.0,0.0,0.0,1.9215,10207.0,1989.0,1425149482.982898,2.5065228939056396,-0.659653490447998,0.6609472396850586,28.45848377799988,-0.8636886354645402,0.5838057501719575,32.36884272188495
-0.27440000000000003,1.4112000000000002,11.368,20.0,-431.0,-42.0,0.0,-0.2436875,0.0,1.379,10209.0,1989.0,1425149483.210075,2.7336997985839844,-0.7576121717453003,0.767811255645752,31.067746834373477,-1.0135466735847825,0.7339576982393051,38.833952978409854
-0.9408000000000001,-0.5096,11.6424,23.0,-439.0,-45.0,0.0,-0.30493750000000003,0.0,-1.0797500000000004,10208.0,1989.0,1425149483.437778,2.9614028930664062,-0.8200939008712769,1.0891458625793458,33.65627561244965,-1.1860573095087354,0.9087906971282768,45.90817507119316
-0.4312,0.07840000000000001,11.2504,19.0,-428.0,-50.0,0.0,0.9725625000000002,0.0,-1.0097500000000004,10206.0,1989.0,1425149483.665686,3.1893107891082764,-1.0345096494674684,0.9730039987564088,36.30967050132752,-1.3729631850130781,1.1570156391514432,53.578706034631864
0.15680000000000002,-0.5488000000000001,11.172,12.0,-437.0,-45.0,0.0,-0.2524375,0.0,-1.2985000000000004,10210.0,1989.0,1425149483.893752,3.41737699508667,-1.1328517974853516,0.9908843893051148,38.875506545066834,-1.6088998758151614,1.3789249695496228,61.85971482619523
-0.47040000000000004,0.039200000000000006,11.564000000000002,4.0,-423.0,-43.0,0.0,0.5088125000000001,0.0,3.5140000000000002,10207.0,1989.0,1425149484.121052,3.644676923751831,-1.0972111686706543,0.8661421884536744,41.414901348114014,-1.8663970085717814,1.6041529205540972,70.69611469071093
-0.15680000000000002,0.47040000000000004,12.152000000000001,23.0,-442.0,-47.0,0.0,0.0,3.7318749999999996,1.4052499999999997,10207.0,1989.0,1425149484.348255,3.871879816055298,-1.204087409210205,0.8750485418319703,44.042275594711306,-2.115686559561421,1.8009429309168263,80.10570006146517
-0.11760000000000001,-0.23520000000000002,11.9952,27.0,-439.0,-51.0,0.0,0.0,0.0,0.7927499999999998,10208.0,1989.0,1425149484.575289,4.098913908004761,-1.2396863548278807,0.9818453786849977,46.80119388008118,-2.389055451139241,1.9996087820233492,90.10479810849844
