a,b,c,d,e,f,g,h,i,j,k,l,m
-36.0,-12.0,1148.0,-175.0,-256.0,-356.0,0.0,1.2844999999999995,0.0,11.456812500000003,10182.0,2627.0,1425147963.879236
-44.0,84.0,1156.0,-192.0,-257.0,-352.0,0.0,0.6369999999999996,-2.891874999999999,4.701812500000001,10181.0,2627.0,1425147964.106069
-32.0,-36.0,1220.0,-202.0,-250.0,-351.0,0.0,-9.583000000000002,0.6343750000000021,-2.8494374999999996,10173.0,2628.0,1425147964.332973
-20.0,-4.0,1176.0,-214.0,-259.0,-342.0,0.0,-8.016750000000002,1.684375000000002,-11.7919375,10175.0,2628.0,1425147964.56018
-28.0,-32.0,1136.0,-204.0,-253.0,-366.0,0.0,4.56575,1.675625000000002,-16.2981875,10174.0,2628.0,1425147964.786965
-36.0,28.0,1148.0,-206.0,-261.0,-406.0,0.0,7.295750000000001,3.1281250000000025,-15.1169375,10176.0,2628.0,1425147965.014079
-24.0,-16.0,1180.0,-214.0,-249.0,-421.0,0.0,1.7394999999999996,-3.2593749999999986,-11.2756875,10183.0,2628.0,1425147965.241425
-44.0,32.0,1152.0,-224.0,-244.0,-442.0,0.0,-8.393,-2.226874999999998,-4.2581875,10174.0,2628.0,1425147965.469194
-12.0,-8.0,1188.0,-230.0,-244.0,-442.0,0.0,-7.264250000000001,2.778125000000003,3.406812500000001,10172.0,2628.0,1425147965.696671
-8.0,56.0,1140.0,-243.0,-241.0,-430.0,0.0,-8.50675,1.8243750000000025,8.6393125,10174.0,2629.0,1425147965.923953
12.0,40.0,1156.0,-259.0,-233.0,-436.0,0.0,-9.504250000000003,-27.400625000000005,-15.7294375,10177.0,2628.0,1425147966.151093
52.0,-88.0,1156.0,-276.0,-217.0,-430.0,0.0,-15.638000000000002,-3.976874999999998,-1.9656874999999996,10180.0,2629.0,1425147966.378616
44.0,-80.0,1120.0,-291.0,-200.0,-433.0,0.0,4.0845,-2.235624999999999,0.3443125000000009,10181.0,2629.0,1425147966.606068
92.0,-44.0,1104.0,-306.0,-179.0,-440.0,0.0,7.7945,-13.855624999999998,-1.2656874999999994,10185.0,2629.0,1425147966.833058
188.0,-92.0,1152.0,-294.0,-146.0,-468.0,0.0,39.05825,35.949375,0.3968125000000011,10184.0,2629.0,1425147967.060863
0.0,60.0,1076.0,-277.0,-170.0,-477.0,0.0,-23.513000000000005,-1.0456249999999976,-22.633187500000002,10189.0,2629.0,1425147967.288158
92.0,108.0,1212.0,-269.0,-169.0,-480.0,0.0,-2.1192500000000005,4.064375000000003,-2.070687499999999,10186.0,2630.0,1425147967.515162
28.0,76.0,1148.0,-272.0,-186.0,-460.0,0.0,-11.210500000000003,2.113125000000003,3.1793125000000018,10179.0,2630.0,1425147967.742063
64.0,76.0,1148.0,-267.0,-193.0,-448.0,0.0,-8.804250000000001,1.7631250000000023,-6.2181875,10173.0,2630.0,1425147967.969596
48.0,-4.0,1196.0,-261.0,-197.0,-445.0,0.0,-9.933000000000002,0.0,-11.6344375,10168.0,2630.0,1425147968.196476
32.0,76.0,1124.0,-253.0,-212.0,-457.0,0.0,-7.334250000000001,4.720625000000003,-28.0056875,10170.0,2630.0,1425147968.423925
40.0,-8.0,1180.0,-234.0,-214.0,-478.0,0.0,-6.030500000000001,4.589375000000002,-32.3019375,10169.0,2630.0,1425147968.651707
36.0,12.0,1204.0,-198.0,-212.0,-518.0,0.0,2.8157499999999995,5.018125000000003,-30.236937500000003,10167.0,2631.0,1425147968.879243
8.0,100.0,1156.0,-184.0,-210.0,-542.0,0.0,10.88325,1.3343750000000023,-7.1281875,10169.0,2631.0,1425147969.10671
-4.0,48.0,1180.0,-181.0,-208.0,-554.0,0.0,-14.491750000000003,2.9531250000000027,-6.5331875,10171.0,2631.0,1425147969.333829
-12.0,68.0,1144.0,-179.0,-219.0,-547.0,0.0,-13.45925,-5.105624999999998,-16.0531875,10170.0,2631.0,1425147969.561458
8.0,16.0,1196.0,-161.0,-220.0,-551.0,0.0,-7.885500000000001,3.3818750000000026,-24.7944375,10169.0,2631.0,1425147969.789405
-8.0,12.0,1164.0,-131.0,-230.0,-558.0,0.0,-7.316750000000001,8.325625000000002,-25.196937500000004,286301.0,2631.0,1425147970.016709
-12.0,-20.0,1184.0,-104.0,-232.0,-573.0,0.0,0.9432499999999995,0.0,-12.8419375,10169.0,2632.0,1425147970.244108
-28.0,-8.0,1188.0,-97.0,-238.0,-574.0,0.0,-2.0142500000000005,2.7168750000000026,-11.2231875,10169.0,2631.0,1425147970.478496
-60.0,-16.0,1188.0,-92.0,-244.0,-584.0,0.0,-5.348000000000001,4.510625000000003,-6.1044374999999995,10167.0,2632.0,1425147970.705774
-88.0,-16.0,1124.0,-81.0,-251.0,-581.0,0.0,-26.260500000000004,9.043125000000003,-20.2356875,10176.0,2631.0,1425147970.932852
-60.0,-128.0,1164.0,-71.0,-270.0,-560.0,0.0,-10.36175,-15.964374999999999,-14.0144375,10174.0,2632.0,1425147971.160011
-28.0,-64.0,1140.0,-86.0,-255.0,-572.0,0.0,10.052,-9.253124999999999,-5.3431875,10175.0,2631.0,1425147971.38747
12.0,4.0,1128.0,-99.0,-222.0,-589.0,0.0,12.440750000000001,-3.0231249999999985,-0.521937499999999,10173.0,2632.0,1425147971.614441
12.0,32.0,1124.0,-108.0,-211.0,-596.0,0.0,2.90325,2.4806250000000025,3.3543125000000007,10176.0,2632.0,1425147971.84178
0.0,36.0,1128.0,-119.0,-200.0,-581.0,0.0,-9.793000000000001,1.0981250000000022,0.42306250000000034,10180.0,2632.0,1425147972.07042
12.0,28.0,1140.0,-109.0,-204.0,-604.0,0.0,6.875750000000001,0.0,-33.570687500000005,10180.0,2632.0,1425147972.297393
0.0,-8.0,1212.0,-60.0,-225.0,-612.0,0.0,6.5520000000000005,3.3818750000000026,-23.814437500000004,10174.0,2632.0,1425147972.524657
-36.0,28.0,1152.0,-22.0,-243.0,-627.0,0.0,-9.583000000000002,15.054375000000004,-21.6531875,10168.0,2632.0,1425147972.751993
-88.0,16.0,1084.0,1.0,-232.0,-633.0,0.0,9.76325,-4.204374999999999,-21.0144375,10168.0,2632.0,1425147972.978915
-40.0,44.0,1160.0,22.0,-227.0,-630.0,0.0,-25.656750000000002,-1.3343749999999979,-32.1706875,10178.0,2632.0,1425147973.206285
-64.0,0.0,1172.0,62.0,-242.0,-628.0,0.0,-5.2780000000000005,7.713125000000003,-32.048187500000004,10175.0,2633.0,1425147973.433482
-80.0,60.0,1160.0,126.0,-251.0,-620.0,0.0,-1.8305000000000007,9.655625000000004,-51.4206875,10175.0,2633.0,1425147973.660793
-80.0,36.0,1132.0,210.0,-259.0,-593.0,0.0,-12.11175,0.7831250000000018,-97.02568750000002,10174.0,2633.0,1425147973.887716
-8.0,-52.0,1188.0,348.0,-289.0,-472.0,0.0,-28.229250000000004,-7.634374999999999,-135.04443750000002,10171.0,2633.0,1425147974.114898
56.0,-152.0,1180.0,418.0,-299.0,-331.0,0.0,-24.344250000000002,14.721875000000004,-125.30568750000002,10173.0,2633.0,1425147974.344823
36.0,-228.0,1120.0,461.0,-296.0,-131.0,0.0,-21.561750000000004,13.365625000000003,-114.81443750000001,10174.0,2633.0,1425147974.572343
20.0,-248.0,1152.0,442.0,-274.0,-26.0,0.0,3.4195,12.849375000000004,-60.0744375,10172.0,2633.0,1425147974.799525
0.0,-184.0,1140.0,428.0,-273.0,17.0,0.0,25.02325,18.213125000000005,-27.244437500000004,10167.0,2633.0,1425147975.027029
