a,b,c,d,e,f,g,h,i,j,k,l,m,Time
-20.0,-40.0,1172.0,35.0,-467.0,-19.0,0.0,0.0,0.0,0.0,10109.0,2331.0,1425134617.541852,0.0
-20.0,-4.0,1172.0,12.0,-425.0,14.0,0.0,0.34475,-1.8024999999999984,-0.5254375000000002,10111.0,2331.0,1425134617.769224,0.2273719310760498
-8.0,-84.0,1160.0,20.0,-430.0,2.0,0.0,0.0,3.6312500000000014,1.0145624999999998,10110.0,2332.0,1425134617.996107,0.4542551040649414
-24.0,-56.0,1184.0,12.0,-436.0,14.0,0.0,-4.774000000000001,0.0,2.8083125,10111.0,2332.0,1425134618.222642,0.6807899475097656
-16.0,-28.0,1104.0,29.0,-436.0,6.0,0.0,0.0,0.0,1.8983124999999998,10109.0,2332.0,1425134618.451121,0.9092690944671631
-48.0,64.0,1100.0,29.0,-430.0,6.0,0.0,0.36224999999999996,3.8500000000000014,-0.9016875000000002,10108.0,2333.0,1425134618.678045,1.136193037033081
-44.0,44.0,1096.0,28.0,-433.0,9.0,0.0,0.0,0.673750000000001,-1.1554375000000003,10109.0,2332.0,1425134618.904637,1.3627851009368896
-24.0,-148.0,1220.0,25.0,-434.0,4.0,0.0,0.8085,0.0,-2.0741875000000003,10108.0,2333.0,1425134619.131358,1.589505910873413
20.0,-80.0,1208.0,23.0,-429.0,9.0,0.0,0.29225,0.0,-1.3566875000000003,10108.0,2333.0,1425134619.358262,1.8164100646972656
-32.0,-48.0,1208.0,18.0,-429.0,3.0,0.0,0.0,0.0,1.1283124999999998,10108.0,2333.0,1425134619.58513,2.0432779788970947
16.0,-20.0,1156.0,21.0,-428.0,7.0,0.0,-0.5302500000000001,-0.5337499999999995,1.7145625,10109.0,2333.0,1425134619.812084,2.2702319622039795
-32.0,-56.0,1132.0,21.0,-427.0,11.0,0.0,-0.46025000000000005,0.0,2.1433125,10111.0,2333.0,1425134620.039033,2.497180938720703
16.0,-112.0,1216.0,24.0,-433.0,11.0,0.0,0.30100000000000005,0.0,-1.3566875000000003,10111.0,2333.0,1425134620.265881,2.724029064178467
4.0,-124.0,1188.0,20.0,-427.0,9.0,0.0,0.6859999999999999,0.0,-1.1291875000000002,10108.0,2333.0,1425134620.492639,2.95078706741333
-12.0,-124.0,1244.0,17.0,-430.0,6.0,0.0,0.0,0.0,-1.6716875000000004,10107.0,2333.0,1425134620.719275,3.1774230003356934
12.0,-68.0,1116.0,20.0,-430.0,6.0,0.0,0.23099999999999998,0.48125000000000107,0.0,10111.0,2333.0,1425134620.946199,3.4043469429016113
-36.0,-72.0,1196.0,27.0,-432.0,8.0,0.0,-0.3465000000000001,0.0,0.3495624999999998,10110.0,2333.0,1425134621.172889,3.6310369968414307
-4.0,-56.0,1172.0,19.0,-434.0,9.0,0.0,0.4059999999999999,0.0,1.3908125,10108.0,2333.0,1425134621.39968,3.85782790184021
-4.0,-148.0,1224.0,25.0,-437.0,6.0,0.0,0.0,0.0,-0.5604375000000001,10110.0,2333.0,1425134621.626483,4.084630966186523
-60.0,-60.0,1188.0,27.0,-424.0,7.0,0.0,0.0,0.0,-0.4291875000000003,10109.0,2333.0,1425134621.853289,4.311436891555786
-32.0,-4.0,1140.0,11.0,-434.0,6.0,0.0,0.0,0.0,0.0,10110.0,2333.0,1425134622.080552,4.538700103759766
24.0,-104.0,1128.0,20.0,-432.0,8.0,0.0,0.5110000000000001,0.0,-1.0504375000000001,10110.0,2333.0,1425134622.307678,4.765825986862183
-48.0,-12.0,1180.0,19.0,-435.0,9.0,0.0,-0.36400000000000005,0.0,1.2245624999999998,10110.0,2333.0,1425134622.53443,4.992578029632568
-4.0,-76.0,1176.0,18.0,-431.0,9.0,0.0,-0.4427500000000001,0.0,0.0,10110.0,2333.0,1425134622.761111,5.219259023666382
-36.0,48.0,1152.0,21.0,-435.0,9.0,0.0,0.30100000000000005,0.0,2.0383125000000004,10112.0,2333.0,1425134622.987775,5.445923089981079
-20.0,20.0,1152.0,19.0,-435.0,9.0,0.0,0.24849999999999994,0.0,-2.0741875000000003,10109.0,2333.0,1425134623.21482,5.672967910766602
-56.0,-48.0,1156.0,21.0,-445.0,1.0,0.0,0.23975000000000002,0.0,0.0,10110.0,2333.0,1425134623.441511,5.899658918380737
-40.0,-20.0,1128.0,20.0,-436.0,6.0,0.0,0.33599999999999997,0.0,-1.1641875000000002,10113.0,2333.0,1425134623.668464,6.126611948013306
-8.0,12.0,1212.0,14.0,-425.0,7.0,0.0,0.0,0.0,0.27956249999999994,10110.0,2333.0,1425134623.895505,6.3536529541015625
32.0,-60.0,1116.0,22.0,-432.0,10.0,0.0,0.23099999999999998,0.0,0.5508124999999997,10111.0,2333.0,1425134624.122147,6.580295085906982
8.0,-60.0,1136.0,23.0,-418.0,5.0,0.0,0.0,0.0,0.0,10109.0,2333.0,1425134624.348858,6.807006120681763
-12.0,-40.0,1148.0,16.0,-433.0,5.0,0.0,0.19599999999999995,0.0,0.0,10110.0,2333.0,1425134624.575599,7.033746957778931
-4.0,-60.0,1208.0,23.0,-436.0,5.0,0.0,0.34475,0.0,-2.0216875000000005,10109.0,2333.0,1425134624.803921,7.2620689868927
0.0,-32.0,1148.0,15.0,-428.0,5.0,0.0,0.0,0.0,1.3733125,10111.0,2334.0,1425134625.030758,7.488905906677246
-28.0,-20.0,1180.0,13.0,-436.0,12.0,0.0,-0.3990000000000001,0.0,0.0,10108.0,2333.0,1425134625.257626,7.715774059295654
12.0,-76.0,1144.0,10.0,-436.0,6.0,0.0,0.0,0.0,1.1283124999999998,10109.0,2333.0,1425134625.484401,7.942548990249634
-4.0,-32.0,1100.0,21.0,-432.0,5.0,0.0,0.0,0.0,-0.6566875000000003,10109.0,2333.0,1425134625.71114,8.169287919998169
0.0,-16.0,1172.0,16.0,-430.0,8.0,0.0,0.0,0.0,0.0,10108.0,2333.0,1425134625.937792,8.395940065383911
-12.0,-96.0,1152.0,12.0,-434.0,11.0,0.0,0.5110000000000001,0.0,-1.0679375000000002,10110.0,2333.0,1425134626.165213,8.623361110687256
-8.0,-56.0,1096.0,16.0,-430.0,3.0,0.0,0.0,0.0,0.27956249999999994,10109.0,2333.0,1425134626.391908,8.850055932998657
-52.0,-64.0,1136.0,12.0,-436.0,10.0,0.0,-5.04525,0.0,1.1983125000000001,10109.0,2333.0,1425134626.618559,9.076706886291504
-32.0,-40.0,1156.0,14.0,-437.0,4.0,0.0,0.0,0.0,0.0,10110.0,2333.0,1425134626.84569,9.303838014602661
-24.0,-44.0,1136.0,16.0,-439.0,10.0,0.0,0.5547500000000001,0.0,0.4633124999999998,10111.0,2334.0,1425134627.072367,9.53051495552063
-8.0,-104.0,1208.0,22.0,-435.0,5.0,0.0,-0.2502500000000001,-0.48999999999999844,-6.6241875000000014,10108.0,2333.0,1425134627.299644,9.757791996002197
-28.0,-48.0,1116.0,12.0,-432.0,2.0,0.0,0.8260000000000001,0.9362500000000011,2.4408125000000003,10112.0,2333.0,1425134627.526829,9.984977006912231
-20.0,-40.0,1168.0,10.0,-424.0,13.0,0.0,-4.31025,3.736250000000002,4.3395624999999995,10107.0,2334.0,1425134627.753592,10.211740016937256
-56.0,4.0,1116.0,30.0,-439.0,12.0,0.0,0.24849999999999994,3.6575000000000015,4.1558125,10109.0,2333.0,1425134627.980289,10.43843698501587
-8.0,-80.0,1212.0,30.0,-435.0,14.0,0.0,0.23975000000000002,0.7175000000000011,0.7520625000000001,10109.0,2333.0,1425134628.207529,10.665677070617676
-8.0,-72.0,1200.0,28.0,-438.0,8.0,0.0,0.33599999999999997,0.47250000000000103,-1.1116875000000002,10112.0,2333.0,1425134628.441316,10.899463891983032
-24.0,0.0,1064.0,26.0,-434.0,11.0,0.0,0.0,0.0,-5.5041875000000005,10108.0,2334.0,1425134628.668423,11.1265709400177
-36.0,-72.0,1112.0,21.0,-424.0,13.0,0.0,0.0,0.5775000000000015,-1.6716875000000004,10110.0,2334.0,1425134628.895582,11.353729963302612
-8.0,-36.0,1152.0,20.0,-418.0,9.0,0.0,0.0,3.8325000000000014,1.6183125,10110.0,2334.0,1425134629.122586,11.580734014511108
-8.0,-40.0,1128.0,26.0,-428.0,16.0,0.0,-0.6090000000000001,0.0,2.9745624999999998,10110.0,2334.0,1425134629.34955,11.807698011398315
-16.0,8.0,1080.0,31.0,-430.0,12.0,0.0,0.0,3.745000000000002,3.4033124999999997,10106.0,2333.0,1425134629.576424,12.034571886062622
8.0,-140.0,1204.0,36.0,-428.0,11.0,0.0,0.0,0.691250000000001,1.1633125,10108.0,2334.0,1425134629.80331,12.261457920074463
-24.0,-56.0,1208.0,35.0,-438.0,9.0,0.0,0.0,0.0,0.0,10110.0,2334.0,1425134630.030094,12.488241910934448
-40.0,20.0,1156.0,35.0,-436.0,13.0,0.0,0.4497500000000001,0.0,-0.4379375000000001,10111.0,2333.0,1425134630.257662,12.715810060501099
-8.0,28.0,1096.0,34.0,-422.0,15.0,0.0,0.0,0.49875000000000114,0.0,10109.0,2334.0,1425134630.484369,12.942517042160034
-16.0,-44.0,1176.0,30.0,-435.0,12.0,0.0,-0.2765000000000001,0.0,-1.1641875000000002,10109.0,2334.0,1425134630.711078,13.169225931167603
12.0,-40.0,1168.0,42.0,-448.0,2.0,0.0,0.4584999999999999,0.0,0.0,10110.0,2333.0,1425134630.938067,13.396214962005615
-20.0,-92.0,1268.0,21.0,-436.0,13.0,0.0,0.0,0.0,-0.8141875000000003,10110.0,2334.0,1425134631.164786,13.622934103012085
-4.0,-104.0,1244.0,33.0,-435.0,14.0,0.0,0.21350000000000002,0.0,-1.2254375000000002,10110.0,2334.0,1425134631.391127,13.8492751121521
-16.0,-148.0,1272.0,27.0,-433.0,13.0,0.0,0.0,0.0,0.4108125,10110.0,2334.0,1425134631.617679,14.07582712173462
8.0,-156.0,1196.0,28.0,-429.0,11.0,0.0,-0.40775000000000006,0.0,0.0,10111.0,2334.0,1425134631.844367,14.302515029907227
8.0,-156.0,1172.0,28.0,-440.0,11.0,0.0,0.6772500000000001,0.0,0.0,10110.0,2334.0,1425134632.071146,14.52929401397705
0.0,-108.0,1184.0,30.0,-441.0,8.0,0.0,0.0,0.0,-1.2166875000000004,10108.0,2334.0,1425134632.298049,14.756196975708008
-4.0,8.0,1092.0,27.0,-435.0,11.0,0.0,0.18725000000000003,0.0,-0.4379375000000001,10110.0,2334.0,1425134632.525064,14.983211994171143
-28.0,-88.0,1232.0,26.0,-436.0,6.0,0.0,0.5197499999999999,0.0,-1.4966875000000002,10108.0,2334.0,1425134632.752918,15.211066007614136
-32.0,-36.0,1204.0,26.0,-439.0,13.0,0.0,0.0,0.0,0.0,10109.0,2334.0,1425134632.97955,15.437697887420654
4.0,-68.0,1116.0,27.0,-436.0,13.0,0.0,0.33599999999999997,-0.411249999999999,0.0,10112.0,2333.0,1425134633.206499,15.664647102355957
-24.0,-84.0,1144.0,29.0,-431.0,8.0,0.0,0.0,0.0,0.0,10107.0,2334.0,1425134633.433137,15.891284942626953
-28.0,-40.0,1188.0,28.0,-434.0,9.0,0.0,-0.32900000000000007,0.0,0.0,10108.0,2334.0,1425134633.659777,16.11792492866516
-20.0,-20.0,1128.0,25.0,-433.0,12.0,0.0,0.0,0.0,0.0,10111.0,2334.0,1425134633.886397,16.344544887542725
-48.0,-40.0,1152.0,19.0,-433.0,15.0,0.0,0.24849999999999994,0.0,-1.0154375000000002,10110.0,2334.0,1425134634.113093,16.57124090194702
0.0,-32.0,1124.0,22.0,-427.0,9.0,0.0,0.5635000000000001,0.0,0.0,10111.0,2334.0,1425134634.339752,16.797899961471558
36.0,-32.0,1152.0,13.0,-435.0,16.0,0.0,-4.78275,0.48125000000000107,0.0,10106.0,2334.0,1425134634.566531,17.024678945541382
-32.0,-28.0,1184.0,24.0,-422.0,14.0,0.0,0.0,0.0,0.7695624999999997,10111.0,2334.0,1425134634.793246,17.251394033432007
-8.0,-56.0,1216.0,25.0,-439.0,11.0,0.0,0.0,0.0,1.6445625000000001,10110.0,2334.0,1425134635.020039,17.478187084197998
-8.0,-12.0,1168.0,26.0,-424.0,5.0,0.0,-0.56525,0.0,0.0,10109.0,2334.0,1425134635.247068,17.70521593093872
-52.0,0.0,1088.0,22.0,-435.0,13.0,0.0,0.6859999999999999,0.0,-0.47293750000000023,10110.0,2334.0,1425134635.473687,17.931834936141968
-8.0,72.0,1108.0,27.0,-422.0,7.0,0.0,0.0,0.0,-0.8404375000000002,10108.0,2334.0,1425134635.700223,18.158370971679688
-20.0,12.0,1104.0,29.0,-435.0,14.0,0.0,-0.2502500000000001,0.0,0.5158125,10112.0,2334.0,1425134635.927076,18.385224103927612
16.0,-52.0,1096.0,36.0,-450.0,4.0,0.0,0.21350000000000002,0.0,0.0,10109.0,2334.0,1425134636.153783,18.611931085586548
-40.0,-108.0,1228.0,23.0,-439.0,11.0,0.0,0.0,0.0,0.0,10110.0,2334.0,1425134636.380565,18.83871293067932
-24.0,4.0,1112.0,26.0,-429.0,8.0,0.0,0.37975000000000003,0.0,-0.7791875000000001,10107.0,2334.0,1425134636.607305,19.065453052520752
-32.0,-100.0,1168.0,26.0,-436.0,10.0,0.0,-0.3465000000000001,0.0,0.0,10107.0,2334.0,1425134636.834461,19.292608976364136
4.0,-88.0,1176.0,22.0,-424.0,7.0,0.0,0.29225,0.0,1.4433124999999998,10109.0,2334.0,1425134637.063494,19.521641969680786
-28.0,-8.0,1056.0,28.0,-426.0,10.0,0.0,-0.43400000000000005,0.0,1.3470624999999998,10111.0,2334.0,1425134637.29022,19.74836802482605
-68.0,44.0,1096.0,29.0,-438.0,11.0,0.0,-0.5302500000000001,0.0,0.9445625,10110.0,2334.0,1425134637.516676,19.97482395172119
