a,b,c,d,e,f,g,h,i,j,k,l,m,n
-8.0,28.0,1056.0,336.0,-455.0,-289.0,0.0,0.1973125,0.45149999999999846,0.0,10111.0,2317.0,1425134315.490711,8.853190898895264
-32.0,16.0,1076.0,325.0,-433.0,-280.0,0.0,0.8273125000000001,0.0,-6.191937500000001,10108.0,2317.0,1425134315.717464,9.079943895339966
4.0,-88.0,1160.0,332.0,-456.0,-285.0,0.0,0.0,0.0,-6.3144375,10111.0,2317.0,1425134315.944825,9.307304859161377
-12.0,-28.0,1160.0,331.0,-448.0,-286.0,0.0,0.0,0.0,1.0268125000000001,10108.0,2317.0,1425134316.17196,9.534440040588379
-12.0,-20.0,1148.0,338.0,-449.0,-288.0,0.0,-0.41518750000000004,-0.511000000000001,4.736812500000001,10111.0,2317.0,1425134316.398801,9.76128101348877
-12.0,-20.0,1128.0,333.0,-453.0,-289.0,0.0,-4.5714375,0.0,5.620562500000001,10110.0,2317.0,1425134316.625986,9.988466024398804
-60.0,44.0,1112.0,339.0,-443.0,-292.0,0.0,0.7573125,0.0,1.2280625,10106.0,2317.0,1425134316.853056,10.215535879135132
-32.0,84.0,1120.0,337.0,-449.0,-296.0,0.0,0.6523125000000001,0.0,0.6768125,10109.0,2317.0,1425134317.079797,10.442276954650879
-44.0,24.0,1136.0,327.0,-453.0,-295.0,0.0,0.47731250000000003,0.0,-1.0906875,10109.0,2317.0,1425134317.306456,10.668936014175415
-4.0,-112.0,1228.0,334.0,-442.0,-297.0,0.0,0.0,0.0,-1.0994375,10110.0,2317.0,1425134317.533268,10.895747900009155
-28.0,-60.0,1172.0,332.0,-452.0,-296.0,0.0,0.5123125,0.0,-6.165687500000001,10109.0,2317.0,1425134317.759837,11.122316837310791
-24.0,8.0,1056.0,340.0,-453.0,-294.0,0.0,0.0,0.0,0.0,10108.0,2317.0,1425134317.986823,11.349303007125854
20.0,-112.0,1208.0,340.0,-452.0,-293.0,0.0,0.0,0.0,-0.4256875,10109.0,2317.0,1425134318.214794,11.577273845672607
-52.0,60.0,1088.0,337.0,-456.0,-294.0,0.0,0.0,-0.5810000000000013,0.8693125000000004,10109.0,2317.0,1425134318.44928,11.811759948730469
12.0,-84.0,1168.0,340.0,-454.0,-293.0,0.0,0.15356249999999994,0.0,0.6155625000000002,10109.0,2317.0,1425134318.676695,12.039175033569336
-36.0,52.0,1120.0,335.0,-456.0,-293.0,0.0,-4.9126875000000005,0.0,0.8868125,10110.0,2317.0,1425134318.903554,12.26603388786316
-72.0,52.0,1100.0,336.0,-442.0,-294.0,0.0,0.37231250000000005,0.0,1.0793125000000003,10110.0,2317.0,1425134319.130306,12.492785930633545
