a,b,c,d,e,f,g,h,i,j,k,l,m,Time
-20.0,-40.0,1160.0,38.0,-460.0,-8.0,0.0,0.0,0.0,0.0,10110.0,2339.0,1425134829.428033,0.0
-4.0,-48.0,1168.0,26.0,-435.0,5.0,0.0,0.3714375,-2.604000000000001,0.0,10111.0,2340.0,1425134829.655917,0.22788381576538086
-8.0,-32.0,1120.0,20.0,-443.0,12.0,0.0,0.0,0.0,0.7931875000000002,10111.0,2341.0,1425134829.88371,0.455676794052124
-60.0,-44.0,1172.0,30.0,-439.0,13.0,0.0,-0.24106250000000012,0.0,1.7381875000000004,10108.0,2341.0,1425134830.111426,0.6833930015563965
-28.0,-56.0,1148.0,27.0,-440.0,14.0,0.0,0.0,0.0,3.0681875000000005,10111.0,2341.0,1425134830.339069,0.9110357761383057
-40.0,-84.0,1156.0,35.0,-424.0,14.0,0.0,-0.40731250000000013,0.0,3.4094375,10108.0,2341.0,1425134830.567111,1.13907790184021
-52.0,-28.0,1204.0,35.0,-430.0,16.0,0.0,0.0,0.5197500000000002,3.6981875000000004,10110.0,2341.0,1425134830.794868,1.3668348789215088
20.0,-24.0,1128.0,38.0,-421.0,23.0,0.0,0.5026874999999998,0.7647500000000003,3.6544375000000002,10109.0,2341.0,1425134831.022739,1.5947058200836182
-12.0,-76.0,1168.0,36.0,-422.0,20.0,0.0,0.0,0.0,3.5319375000000006,10111.0,2341.0,1425134831.250558,1.8225247859954834
-4.0,-20.0,1220.0,45.0,-418.0,32.0,0.0,-0.2235625000000001,0.0,3.8906875000000003,10110.0,2341.0,1425134831.478234,2.050200939178467
-12.0,-16.0,1116.0,53.0,-427.0,19.0,0.0,-0.17106250000000012,0.44099999999999984,4.0831875,10108.0,2341.0,1425134831.706289,2.2782559394836426
-16.0,-40.0,1124.0,46.0,-429.0,36.0,0.0,0.0,0.0,4.669437500000001,10109.0,2341.0,1425134831.934083,2.506049871444702
-28.0,-24.0,1184.0,57.0,-423.0,28.0,0.0,-0.24106250000000012,0.0,4.853187500000001,10110.0,2341.0,1425134832.161966,2.7339329719543457
8.0,-48.0,1144.0,52.0,-419.0,37.0,0.0,0.5901875,0.44974999999999987,3.6894375000000004,10111.0,2341.0,1425134832.391099,2.9630658626556396
-16.0,-28.0,1128.0,63.0,-440.0,24.0,0.0,0.4676874999999999,0.0,3.2081875,10110.0,2342.0,1425134832.61887,3.1908369064331055
-28.0,-84.0,1124.0,78.0,-461.0,6.0,0.0,-4.624812500000001,0.0,3.2519375000000004,10111.0,2342.0,1425134832.847485,3.419451951980591
-24.0,-92.0,1172.0,66.0,-444.0,30.0,0.0,0.5464375,0.0,3.4531875000000003,10111.0,2342.0,1425134833.080997,3.652963876724243
-4.0,-108.0,1188.0,90.0,-430.0,35.0,0.0,-0.35481250000000014,3.73975,0.6706875000000001,10109.0,2342.0,1425134833.307961,3.87992787361145
-8.0,-60.0,1164.0,84.0,-450.0,25.0,0.0,0.0,0.0,-6.6880625,10112.0,2341.0,1425134833.534734,4.106700897216797
-32.0,-16.0,1136.0,79.0,-444.0,26.0,0.0,0.39768749999999986,0.0,-4.684312500000001,10113.0,2342.0,1425134833.761517,4.333483934402466
-44.0,-20.0,1136.0,75.0,-444.0,20.0,0.0,0.3539374999999999,0.0,-7.309312500000001,10111.0,2342.0,1425134833.988565,4.560531854629517
-60.0,20.0,1176.0,73.0,-445.0,34.0,0.0,0.31018749999999995,1.2110000000000003,-10.616812500000002,10110.0,2342.0,1425134834.215494,4.787460803985596
-8.0,-44.0,1160.0,62.0,-456.0,18.0,0.0,1.2814375,0.0,-9.339312500000002,10109.0,2342.0,1425134834.451556,5.023522853851318
-8.0,-84.0,1184.0,57.0,-440.0,4.0,0.0,0.39768749999999986,0.0,3.5056875000000005,10121.0,2342.0,1425134834.679175,5.251141786575317
-20.0,-16.0,1140.0,40.0,-428.0,8.0,0.0,0.0,1.2634999999999996,-10.879312500000001,10128.0,2342.0,1425134834.907019,5.478985786437988
28.0,-60.0,1140.0,27.0,-425.0,5.0,0.0,-0.6348125000000002,-2.131500000000001,-8.5868125,10120.0,2342.0,1425134835.140217,5.712183952331543
-24.0,-8.0,1112.0,20.0,-439.0,9.0,0.0,-5.1323125,1.7184999999999997,2.4644375000000007,10119.0,2342.0,1425134835.367039,5.9390058517456055
-60.0,24.0,1168.0,26.0,-438.0,27.0,0.0,-0.6960625000000001,3.73975,7.521937500000001,10115.0,2342.0,1425134835.59381,6.165776968002319
-36.0,-56.0,1212.0,32.0,-438.0,20.0,0.0,-5.1585625,0.5547499999999994,11.949437500000002,10116.0,2342.0,1425134835.820774,6.392740964889526
-44.0,0.0,1144.0,45.0,-433.0,27.0,0.0,-0.21481250000000013,0.0,15.230687500000002,10117.0,2342.0,1425134836.047429,6.619395971298218
-76.0,-52.0,1168.0,64.0,-435.0,29.0,0.0,-5.1673125,-1.8164999999999996,-8.5868125,10116.0,2342.0,1425134836.274972,6.846938848495483
-44.0,-52.0,1200.0,87.0,-436.0,30.0,0.0,1.1589375,-1.029,17.776937500000003,10123.0,2342.0,1425134836.508421,7.080387830734253
-12.0,-56.0,1172.0,105.0,-447.0,29.0,0.0,0.9139375,2.0335,14.355687500000002,10122.0,2342.0,1425134836.735302,7.307268857955933
-40.0,20.0,1128.0,119.0,-452.0,29.0,0.0,1.1589375,-1.0027500000000007,17.8819375,10129.0,2342.0,1425134836.962633,7.534599781036377
-52.0,8.0,1200.0,119.0,-433.0,32.0,0.0,0.5289375,-4.879000000000001,7.556937500000001,10119.0,2342.0,1425134837.195956,7.767922878265381
4.0,-108.0,1168.0,130.0,-451.0,25.0,0.0,-5.053562500000001,1.2722499999999997,4.3544375,10126.0,2342.0,1425134837.42295,7.994916915893555
4.0,-72.0,1176.0,126.0,-452.0,28.0,0.0,-4.7385625000000005,3.2497499999999997,0.0,10116.0,2342.0,1425134837.650131,8.222097873687744
4.0,-52.0,1132.0,136.0,-449.0,30.0,0.0,0.3539374999999999,3.6172500000000003,-0.43181249999999993,10129.0,2342.0,1425134837.878943,8.450909852981567
-44.0,-40.0,1144.0,128.0,-450.0,33.0,0.0,-0.43356250000000013,3.346,-5.979312500000001,10123.0,2342.0,1425134838.106066,8.678032875061035
-40.0,-52.0,1184.0,129.0,-453.0,30.0,0.0,0.8264375,0.5722499999999995,-5.1130625,10118.0,2341.0,1425134838.332654,8.904620885848999
-16.0,-40.0,1144.0,123.0,-450.0,26.0,0.0,0.6689374999999999,1.2284999999999995,-6.828062500000001,10125.0,2342.0,1425134838.559459,9.131425857543945
-20.0,-48.0,1164.0,115.0,-447.0,28.0,0.0,0.3189375,0.0,-9.453062500000001,10125.0,2341.0,1425134838.786041,9.358007907867432
8.0,-24.0,1136.0,108.0,-455.0,27.0,0.0,0.0,2.4885,-9.750562500000001,10125.0,2341.0,1425134839.013253,9.585219860076904
-36.0,-12.0,1184.0,103.0,-453.0,23.0,0.0,0.0,3.0222499999999997,-12.3843125,10128.0,2341.0,1425134839.240264,9.812230825424194
-16.0,-20.0,1164.0,93.0,-447.0,23.0,0.0,-4.764812500000001,0.9660000000000002,-15.438062500000001,10120.0,2341.0,1425134839.467114,10.03908085823059
8.0,-24.0,1116.0,82.0,-430.0,43.0,0.0,0.4326875,-5.089,7.661937500000001,10118.0,2341.0,1425134839.694451,10.266417980194092
-16.0,-76.0,1164.0,53.0,-437.0,22.0,0.0,1.8676875000000002,0.5372500000000002,-13.495562500000002,10123.0,2341.0,1425134839.92761,10.499576807022095
-44.0,108.0,1112.0,48.0,-433.0,20.0,0.0,0.5026874999999998,2.49725,-6.7318125,10125.0,2340.0,1425134840.154546,10.726512908935547
4.0,-44.0,1100.0,53.0,-425.0,18.0,0.0,-4.178562500000001,2.7510000000000003,2.6569375000000006,10119.0,2340.0,1425134840.381314,10.953280925750732
12.0,-48.0,1096.0,81.0,-470.0,5.0,0.0,-5.1673125,0.0,7.933187500000002,10114.0,2340.0,1425134840.608913,11.180879831314087
4.0,-52.0,1132.0,61.0,-422.0,26.0,0.0,-4.773562500000001,0.9835000000000003,10.899437500000001,10115.0,2340.0,1425134840.835594,11.4075608253479
-28.0,-100.0,1208.0,78.0,-422.0,33.0,0.0,-0.2498125000000001,0.5722499999999995,13.8569375,10112.0,2339.0,1425134841.062411,11.63437795639038
-40.0,56.0,1132.0,71.0,-446.0,32.0,0.0,1.0364375,0.0,17.2256875,10110.0,2339.0,1425134841.289272,11.861238956451416
-48.0,-44.0,1152.0,110.0,-442.0,31.0,0.0,-0.5385625000000002,0.0,19.1856875,10107.0,2340.0,1425134841.515985,12.087951898574829
-44.0,-16.0,1204.0,117.0,-439.0,36.0,0.0,1.8676875000000002,0.5372500000000002,-13.2593125,10110.0,2339.0,1425134841.741526,12.313492774963379
-56.0,-32.0,1136.0,156.0,-436.0,44.0,0.0,0.45018749999999985,-0.7927499999999998,23.3069375,10110.0,2339.0,1425134841.975741,12.547707796096802
-20.0,-84.0,1156.0,163.0,-456.0,25.0,0.0,0.34518749999999987,-0.6177500000000009,17.488187500000002,10108.0,2339.0,1425134842.202571,12.774537801742554
